gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,expected_tenure,CLV,Cluster,Contract,PaymentMethod
0,0,1,0,1,0,0,0,1,0,0,0,0,1,29.85,29.85,0,0,0,0,0,0,1,0,1,29.85,2,Month-to-month,Electronic check
1,0,0,0,34,1,0,1,0,1,0,0,0,0,56.95,1889.5,0,0,0,1,0,0,0,1,34,1936.3000000000002,0,One year,Mailed check
1,0,0,0,2,1,0,1,1,0,0,0,0,1,53.85,108.15,1,0,0,0,0,0,0,1,2,107.7,2,Month-to-month,Mailed check
1,0,0,0,45,0,0,1,0,1,1,0,0,0,42.3,1840.75,0,0,0,1,0,0,0,0,45,1903.4999999999998,0,One year,Bank transfer (automatic)
0,0,0,0,2,1,0,0,0,0,0,0,0,1,70.7,151.65,1,1,0,0,0,0,1,0,2,141.4,3,Month-to-month,Electronic check
0,0,0,0,8,1,1,0,0,1,0,1,1,1,99.65,820.5,1,1,0,0,0,0,1,0,8,797.2,3,Month-to-month,Electronic check
1,0,0,1,22,1,1,0,1,0,0,1,0,1,89.1,1949.4,0,1,0,0,0,1,0,0,22,1960.1999999999998,3,Month-to-month,Credit card (automatic)
0,0,0,0,10,0,0,1,0,0,0,0,0,0,29.75,301.9,0,0,0,0,0,0,0,1,10,297.5,2,Month-to-month,Mailed check
0,0,1,0,28,1,1,0,0,1,1,1,1,1,104.8,3046.05,1,1,0,0,0,0,1,0,28,2934.4,3,Month-to-month,Electronic check
1,0,0,1,62,1,0,1,1,0,0,0,0,0,56.15,3487.95,0,0,0,1,0,0,0,0,62,3481.2999999999997,0,One year,Bank transfer (automatic)
1,0,1,1,13,1,0,1,0,0,0,0,0,1,49.95,587.45,0,0,0,0,0,0,0,1,13,649.35,2,Month-to-month,Mailed check
1,0,0,0,16,1,0,0,0,0,0,0,0,0,18.95,326.8,0,0,1,0,1,1,0,0,16,303.2,2,Two year,Credit card (automatic)
1,0,1,0,58,1,1,0,0,1,0,1,1,0,100.35,5681.1,0,1,0,1,0,1,0,0,58,5820.299999999999,1,One year,Credit card (automatic)
1,0,0,0,49,1,1,0,1,1,0,1,1,1,103.7,5036.3,1,1,0,0,0,0,0,0,49,5081.3,1,Month-to-month,Bank transfer (automatic)
1,0,0,0,25,1,0,1,0,1,1,1,1,1,105.5,2686.05,0,1,0,0,0,0,1,0,25,2637.5,3,Month-to-month,Electronic check
0,0,1,1,69,1,1,1,1,1,1,1,1,0,113.25,7895.15,0,1,0,0,1,1,0,0,69,7814.25,1,Two year,Credit card (automatic)
0,0,0,0,52,1,0,0,0,0,0,0,0,0,20.65,1022.95,0,0,1,1,0,0,0,1,52,1073.8,0,One year,Mailed check
1,0,0,1,71,1,1,1,0,1,0,1,1,0,106.7,7382.25,0,1,0,0,1,0,0,0,71,7575.7,1,Two year,Bank transfer (automatic)
0,0,1,1,10,1,0,0,0,1,1,0,0,0,55.2,528.35,1,0,0,0,0,1,0,0,10,552.0,2,Month-to-month,Credit card (automatic)
0,0,0,0,21,1,0,0,1,1,0,0,1,1,90.05,1862.9,0,1,0,0,0,0,1,0,21,1891.05,3,Month-to-month,Electronic check
1,1,0,0,1,0,0,0,0,1,0,0,1,1,39.65,39.65,1,0,0,0,0,0,1,0,1,39.65,2,Month-to-month,Electronic check
1,0,1,0,12,1,0,0,0,0,0,0,0,0,19.8,202.25,0,0,1,1,0,0,0,0,12,237.60000000000002,2,One year,Bank transfer (automatic)
1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.15,20.15,1,0,1,0,0,0,0,1,1,20.15,2,Month-to-month,Mailed check
0,0,1,0,58,1,1,0,1,0,1,0,0,1,59.9,3505.1,0,0,0,0,1,1,0,0,58,3474.2,0,Two year,Credit card (automatic)
1,0,1,1,49,1,0,1,1,0,1,0,0,0,59.6,2970.3,0,0,0,0,0,1,0,0,49,2920.4,0,Month-to-month,Credit card (automatic)
0,0,0,0,30,1,0,1,1,0,0,0,0,1,55.3,1530.6,0,0,0,0,0,0,0,0,30,1659.0,3,Month-to-month,Bank transfer (automatic)
1,0,1,1,47,1,1,0,1,0,0,1,1,1,99.35,4749.15,1,1,0,0,0,0,1,0,47,4669.45,1,Month-to-month,Electronic check
1,0,1,1,1,0,0,0,1,0,0,0,0,0,30.2,30.2,1,0,0,0,0,0,1,0,1,30.2,2,Month-to-month,Electronic check
1,0,1,0,72,1,1,1,1,1,1,1,1,1,90.25,6369.45,0,0,0,0,1,1,0,0,72,6498.0,1,Two year,Credit card (automatic)
0,0,0,1,17,1,0,0,0,0,0,1,1,1,64.7,1093.1,1,0,0,0,0,0,0,1,17,1099.9,3,Month-to-month,Mailed check
0,1,1,0,71,1,1,1,1,1,1,0,0,1,96.35,6766.95,0,1,0,0,1,1,0,0,71,6840.849999999999,1,Two year,Credit card (automatic)
1,1,1,0,2,1,0,0,0,1,0,1,1,1,95.5,181.65,0,1,0,0,0,1,0,0,2,191.0,3,Month-to-month,Credit card (automatic)
0,0,1,1,27,1,0,1,1,1,1,0,0,0,66.15,1874.45,0,0,0,1,0,0,0,1,27,1786.0500000000002,3,One year,Mailed check
